exponent,min_runtime_old,min_runtime_new
1,1.619999238755554e-06,6.889968062750995e-07
2,1.610002072993666e-06,1.4699980965815485e-06
3,1.739994331728667e-06,2.010005118791014e-06
4,1.519998477306217e-06,1.5900004655122757e-06
5,1.7300044419243932e-06,2.439999661874026e-06
6,1.7909987946040928e-06,2.13099701795727e-06
7,1.720000000204891e-06,2.14899773709476e-06
8,2.1400046534836292e-06,2.1599989850074053e-06
9,2.0099978428333998e-06,2.6600027922540903e-06
10,2.048996975645423e-06,2.610999217722565e-06
11,2.2400054149329662e-06,2.7000060072168708e-06
12,2.739994670264423e-06,2.759996277745813e-06
13,2.840002707671374e-06,2.930995833594352e-06
14,2.848995791282505e-06,2.4999972083605826e-06
15,2.8799986466765404e-06,3.1800009310245514e-06
16,3.059998562093824e-06,2.2310050553642213e-06
17,3.1999952625483274e-06,3.0709998100064695e-06
18,2.7799978852272034e-06,2.5699991965666413e-06
19,3.560002369340509e-06,3.3800024539232254e-06
20,4.3000036384910345e-06,2.9690054361708462e-06
21,3.4799959394149482e-06,4.140005330555141e-06
22,3.4890035749413073e-06,3.8199941627681255e-06
23,3.4299955586902797e-06,4.149995220359415e-06
24,2.4900000425986946e-06,8.480004908051342e-06
25,3.969995304942131e-06,3.5709963412955403e-06
26,3.929999365936965e-06,3.359993570484221e-06
27,4.2000028770416975e-06,3.2899988582357764e-06
28,4.369998350739479e-06,3.239998477511108e-06
29,4.530003934632987e-06,3.2899988582357764e-06
30,4.459994670469314e-06,3.970002580899745e-06
31,4.919995262753218e-06,4.2900064727291465e-06
32,4.599998646881431e-06,2.6339999749325216e-05
33,4.879999323748052e-06,3.3100004657171667e-06
34,5.02000330016017e-06,3.4100012271665037e-06
35,5.269997927825898e-06,3.7099962355569005e-06
36,6.750999455107376e-05,3.2899988582357764e-06
37,6.06999674346298e-06,3.6199999158270657e-06
38,5.230001988820732e-06,6.70000008540228e-06
39,7.557999924756587e-05,4.1099992813542485e-06
40,5.7299985201098025e-06,3.159999323543161e-06
41,5.859998054802418e-06,3.5900011425837874e-06
42,6.0399979702197015e-06,5.9200028772465885e-06
43,5.779998900834471e-06,4.800000169780105e-06
44,6.289999873843044e-06,3.7100035115145147e-06
45,5.49999822396785e-06,4.5199994929134846e-06
46,5.919995601288974e-06,4.069996066391468e-06
47,6.210000719875097e-06,3.3019998227246106e-05
48,6.660004146397114e-06,3.5199991543777287e-06
49,6.829999620094895e-06,4.050001734867692e-06
50,2.9009999707341194e-05,3.6299970815889537e-06
51,6.629998097196221e-06,3.970002580899745e-06
52,6.739996024407446e-06,3.549997927621007e-06
53,8.539995178580284e-06,3.920002200175077e-06
54,7.030001142993569e-06,3.959998139180243e-06
55,7.079994247760624e-06,4.3000036384910345e-06
56,6.859998393338174e-06,3.5199991543777287e-06
57,7.109993021003902e-06,3.939996531698853e-06
58,7.200003892648965e-06,3.879998985212296e-06
59,7.26999860489741e-06,4.269997589290142e-06
60,7.5400021160021424e-06,3.910005034413189e-06
61,7.479997293557972e-06,4.330002411734313e-06
62,7.709997589699924e-06,4.269997589290142e-06
63,7.740003638900816e-06,4.69000224256888e-06
64,7.88000033935532e-06,3.2700045267120004e-06
65,7.980001100804657e-06,3.6799974623136222e-06
66,8.13999940874055e-06,3.659995854832232e-06
67,8.230003004428e-06,4.1000021155923605e-06
68,8.290000550914556e-06,3.6999990697950125e-06
69,8.429997251369059e-06,4.1099992813542485e-06
70,8.570001227781177e-06,4.1000021155923605e-06
71,8.620001608505845e-06,4.440000338945538e-06
72,8.769995474722236e-06,3.660003130789846e-06
73,9.67000232776627e-06,4.08000050811097e-06
74,8.96999699762091e-06,4.08000050811097e-06
75,9.119998139794916e-06,4.45000478066504e-06
76,9.25999484024942e-06,4.169996827840805e-06
77,9.309995220974088e-06,4.559995431918651e-06
